uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,TypeClean,Type Note,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.0000316629639122e+018,8570,Verka Dolezalkova,2022-09-12 06:25:29.389 GMT,Verka Dolezalkova,2022-09-12 06:26:27 GMT,8570,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,low and eroded,Annual agriculture,,Scrub,,Hilltop,Low,42.118146666666675,26.704065,4662936.4198324988,475536.74431794946,1,1,,East,photo ID 114-0701 to114-0703,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8570_1.jpg''}}",0.5,42,NA,NA,,,Artefact scatter,worn small pottery fragments,No,LA to Ottoman and modern,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_2.jpg''}}",4 - seriously damaged,Anthropogenic,ploughed,3 - impaired,Agriculture,,Last month,,,,,POINT(475536.744318 4662936.419832)
1.0000316629666254e+018,8571,Verka Dolezalkova,2022-09-12 07:10:30.523 GMT,Verka Dolezalkova,2022-09-12 07:20:50 GMT,8571,12 Sep,Verka Dolezalkova,Extinct Burial Mound,,Survey,"very destroyed, uncertain mound",Annual agriculture,,Annual agriculture,,Lower slope,Low,42.117899999999992,26.704741666666671,4662908.8385697082,475592.58588147891,1.2,2,,Northwest,photos 114-0707 to 114-0708,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8571_1.jpg''}}",0.2,32,NA,NA,,"very destroyed, very hard to find the exact border",Artefact scatter,"very worn ceramics, small fragments, prehistoric to Ottoman",No,"prehistoric, ancient , Ottoman","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_3.jpg''}}",5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,"down the slope, northeast from the mound there is a loose stone scatter, the stones are possibly plouged out from the mound",,,POINT(475592.585881 4662908.83857)
1.0000316629700463e+018,8572,Verka Dolezalkova,2022-09-12 08:07:31.523 GMT,Verka Dolezalkova,2022-09-12 08:09:15 GMT,8572,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,Medium,42.125568333333334,26.70636833333333,4663759.8006493375,475729.98036930751,1.5,3,,West,114-0713 to 114-0714,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8572_1.jpg''}}",2.2,41,NA,NA,,round,Other,loose stones,No,,,2 - minor damage,Post-depositional,,3 - impaired,Animal activity,,Last year,,,,,POINT(475729.980369 4663759.800649)
1.0000316629710359e+018,8573,Verka Dolezalkova,2022-09-12 08:24:08.692 GMT,Verka Dolezalkova,2022-09-12 08:25:28 GMT,8573,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,,Scrub,,Pasture,grassland,Upper slope,High,42.125856666666671,26.706023333333331,4663791.9127982911,475701.57467277406,1.5,4,,Northwest,114-0715 to 114-0717,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8573_1.jpg''}}",4,33,NA,NA,,round,Loose artefacts,Roman  ceramic,No,Roman,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_2.jpg''}}",4 - seriously damaged,Looting,animal burrows,4 - minimal,Looting,,Unknown,,"Two Rt
one goes west-north
rectangular and 6x2 m

 and one goes east-north
8x5 m","scatter of stones, pulled out from the mound","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_3.jpg''}}",POINT(475701.574673 4663791.912798)
1.0000316629728055e+018,8574,Verka Dolezalkova,2022-09-12 08:53:30.643 GMT,Verka Dolezalkova,2022-09-12 08:54:07 GMT,8574,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,"round, looted mound",Scrub,,Pasture,grassland,Upper slope,High,42.125994999999996,26.706396666666667,4663807.1660160394,475732.48508657009,1.2,5,,Northwest,114-0723,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8574_1.jpg''}}",4.5,36,NA,NA,,round,,,No,,,4 - seriously damaged,Looting,animals,4 - minimal,Looting,,Unknown,,1 Large RT in northwest direction. on top there is a geodetic point,"RT is 10 X 8 meters, 1,4 of the mound is damaged/gone","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8574_1.jpg''}}",POINT(475732.485087 4663807.166016)
1.0000316629752598e+018,8575,Verka Dolezalkova,2022-09-12 09:34:29.569 GMT,Verka Dolezalkova,2022-09-12 09:36:46 GMT,8575,12 Sep,Verka Dolezalkova,Uncertain Feature,,Survey,flat uncertain mound,Annual agriculture,,Pasture,grassland,Upper slope,Low,42.124896666666672,26.707100000000001,4663685.0169066284,475790.20034890325,1.3999999999999999,6,,Northwest,114-0725,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8575_1.jpg''}}",0.3,21,NA,NA,,,Artefact scatter,stones and acient ceramic,No,ancient,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8575_2.jpg''}}",3 - damaged,Agriculture,animals,3 - impaired,Agriculture,,Unknown,,,,,POINT(475790.200349 4663685.016907)
1.0000316629760745e+018,8576,Verka Dolezalkova,2022-09-12 09:47:59.628 GMT,Verka Dolezalkova,2022-09-12 09:49:30 GMT,8576,12 Sep,Verka Dolezalkova,Extinct Burial Mound,,Survey,possibly extinct mound from M 1:5000,Pasture,grassland,Pasture,grassland,Upper slope,Low,42.125574999999998,26.705848333333332,4663760.6887374651,475687.00246709207,1.3,7,,Northwest,114-0728 to 114-0729,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8576_1.jpg''}}",0.3,15,NA,NA,,round and very flat,,,No,,,5 - extinct or near extinct,Erosion,,5 - none or nearly none,Animal activity,,Last year,,,,,POINT(475687.002467 4663760.688737)
1.000031662978119e+018,8577,Verka Dolezalkova,2022-09-12 10:22:04.232 GMT,Verka Dolezalkova,2022-09-12 10:22:56 GMT,8577,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Scrub,,Scrub,,Upper slope,High,42.129656666666669,26.69849,4664216.0028891386,475080.401313023,1.2,8,,Northwest,114- 0732 to 114- 0733,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8577_1.jpg''}}",3,35,NA,NA,,round,,,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Unknown,,"L shaped RT 5 m length on top of mound.
stones pulled out and scattered around.
Backfield.",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8577_2.jpg''}}",POINT(475080.401313 4664216.002889)
1.0000316629809997e+018,8578,Verka Dolezalkova,2022-09-12 11:10:04.960 GMT,Verka Dolezalkova,2022-09-12 11:10:25 GMT,8578,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,Medium,42.126695000000005,26.712344999999996,4663883.2152100066,476224.40130231454,1.2,9,,Northeast,114-0734 to 114-0735,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8578_1.jpg''}}",1,26,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animals (pasture),4 - minimal,Looting,,Last year,,"round RT, 1 Meter deep, 3 meters wide",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8578_1.jpg''}}",POINT(476224.401302 4663883.21521)
1.0000316629827064e+018,8579,Verka Dolezalkova,2022-09-12 11:38:31.616 GMT,Verka Dolezalkova,2022-09-12 11:39:02 GMT,8579,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Annual agriculture,,Scrub,,Upper slope,High,42.124011666666668,26.717761666666668,4663583.7873622896,476671.1219450768,1.3999999999999999,10,,Northeast,114-0738,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8579_1.jpg''}}",1.2,36,NA,NA,,,Artefact scatter,ancient and medieval and modern  ceramic,No,ancient and medieval and modern,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8579_2.jpg''}}",3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(476671.121945 4663583.787362)
1.0000316629860631e+018,8580,Verka Dolezalkova,2022-09-12 12:34:28.340 GMT,Verka Dolezalkova,2022-09-12 12:35:10 GMT,8580,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,,Pasture,grassland,Scrub,,Upper slope,Low,42.117039999999996,26.723451666666666,4662808.1756670149,477138.93285675085,1.2,11,,Northeast,114-0741,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8580_1.jpg''}}",0.5,17,NA,NA,,,,,No,,,3 - damaged,Animal activity,,3 - impaired,Animal activity,,Last year,,,densely overgrown,,POINT(477138.932857 4662808.175667)
1.000031663050127e+018,8581,Verka Dolezalkova,2022-09-13 06:22:27.275 GMT,Verka Dolezalkova,2022-09-13 06:24:15 GMT,8581,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,robbed mound next to the geodetic point,Forest,,Scrub,,Upper slope,Medium,42.090524999999992,26.585815000000004,4659910.1800026968,465746.81256869144,1.3999999999999999,12,,Southwest,978-980,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8581_1.jpg''}}",1.7,25,NA,NA,,,Other,quartz scatter on the top and around the mound,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Other,,"1RT looks like a year old, RT is older","1RT rectangular, 1x1.5m, 2RT elongated 3x1.5m","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8581_2.jpg''}}",POINT(465746.812569 4659910.180003)
1.0000316630531251e+018,8582,Verka Dolezalkova,2022-09-13 07:12:21.244 GMT,Verka Dolezalkova,2022-09-13 07:20:40 GMT,8582,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,larger mound surrounded with a pottery scatter (60m radius around the mound). pottery visible only in the ploughed stripe around the mound,Annual agriculture,,Pasture,grassland,Hilltop,Super prominent,42.096916666666658,26.587346666666669,4660619.2403013613,465876.90826767887,1.2,13,,North,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8582_1.jpg''}}",1.7,30,NA,NA,,,Artefact scatter,"crumbled iron age handmade pottery, very worn",No,iron age (pottery),"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8582_2.jpg''}}",3 - damaged,Looting,,3 - impaired,Looting,,Unknown,,"1RT, round, 1m deep, 3m diameter",larger stones on the top of the mound and in the RT,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8582_1.jpg''}}",POINT(465876.908268 4660619.240301)
1.0000316630563013e+018,8583,Verka Dolezalkova,2022-09-13 08:05:16.943 GMT,Verka Dolezalkova,2022-09-13 08:12:57 GMT,8583,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,prominent mound,Pasture,grassland,Annual agriculture,,,Super prominent,42.106918333333333,26.586935,4661729.901100425,465848.23439916864,1.3,14,,North,990-995,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8583_1.jpg''}}",5,40,NA,NA,,,Artefact scatter,2 sherds,No,Roman Pottery fragments,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8583_2.jpg''}}",3 - damaged,Looting,,3 - impaired,Animal activity,,Last year,,"1RT,oval,6x3, 1m deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8583_2.jpg''}}",POINT(465848.234399 4661729.9011)
1.0000316630575296e+018,8584,Verka Dolezalkova,2022-09-13 08:25:44.698 GMT,Verka Dolezalkova,2022-09-13 08:30:47 GMT,8584,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,Damaged burial mound in the forest,Forest,,Scrub,,Lower slope,Medium,42.107349999999997,26.586819999999996,4661777.8755510049,465838.95806204842,1.3,15,,West,998,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8584_1.jpg''}}",4,30,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animal burrows,4 - minimal,Animal activity,,Last year,,"1RT situated on the top, round, 3.5m diameter
r, 0.5m deep, 2RT ''c'' shape, 8x6m. 1.2M deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8584_3.jpg''}}",POINT(465838.958062 4661777.875551)
1.0000316630587752e+018,8585,Verka Dolezalkova,2022-09-13 08:46:36.580 GMT,Verka Dolezalkova,2022-09-13 08:46:36 GMT,8585,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,damaged burial mound,Forest,,Forest,,Lower slope,Medium,42.107510000000005,26.587056666666665,4661795.5459594559,465858.61115986522,1.5,16,,North,005-008,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8585_1.jpg''}}",1.5,18,NA,NA,,,,,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Other,,"1RT, 3x2m, 0.5m deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8585_1.jpg''}}",POINT(465858.61116 4661795.545959)
1.0000316630606413e+018,8586,Verka Dolezalkova,2022-09-13 09:17:26.449 GMT,Verka Dolezalkova,2022-09-13 09:19:47 GMT,8586,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,large mound with deep RT on the top,Forest,,Forest,,Lower slope,Medium,42.107568333333333,26.587291666666669,4661801.9289119942,465878.0718412589,1.3999999999999999,17,,East,009-012,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8586_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8586_2.jpg''}}",4,36,NA,NA,,,,,No,,,3 - damaged,Looting,animal burrows,3 - impaired,Looting,,Last year,,"1RT, irregular, all the top of the mound was damaged by looters, crumbled white stone scatterd all over the mound, 1.6 deep, 8m max length",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8586_1.jpg''}}",POINT(465878.071841 4661801.928912)
1.0000316630625536e+018,8587,Verka Dolezalkova,2022-09-13 09:49:18.793 GMT,Verka Dolezalkova,2022-09-13 09:50:11 GMT,8587,13 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,"no mound, nothing in the field, all ploughed",Annual agriculture,,Annual agriculture,,Lower slope,Nil,42.108325000000001,26.587445000000002,4661885.8813352222,465891.15480187361,1.3,18,,No Observation,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8587_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8587_2.jpg''}}",0,0,NA,NA,,,,,No,,,0 - No observation,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(465891.154802 4661885.881335)
1.0000316630629018e+018,8588,Verka Dolezalkova,2022-09-13 09:55:32.277 GMT,Verka Dolezalkova,2022-09-13 09:55:32 GMT,8588,13 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,flat mound annually ploughed,Annual agriculture,,Annual agriculture,,Upper slope,Low,42.107934999999998,26.587058333333335,4661842.7335714335,465858.97700371896,1.2,19,,East,0913-0914,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8588_1.jpg''}}",0.5,25,NA,NA,,,,,No,,,4 - seriously damaged,Agriculture,annually ploughed,3 - impaired,Agriculture,,Last year,,,,,POINT(465858.977004 4661842.733571)
1.0000316630637371e+018,8589,Verka Dolezalkova,2022-09-13 10:09:02.200 GMT,Verka Dolezalkova,2022-09-13 10:09:42 GMT,8589,13 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,"ploughed field, no mound observed, no artifact scatter",Annual agriculture,,Annual agriculture,,Lower slope,Nil,42.108084999999996,26.585521666666668,4661860.0033891303,465732.00966230448,1.2,20,,No Observation,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8589_1.jpg''}}",0,0,NA,NA,,,,,No,,,0 - No observation,Agriculture,,4 - minimal,Agriculture,,Last year,,,,,POINT(465732.009662 4661860.003389)
1.0000316630641719e+018,8590,Verka Dolezalkova,2022-09-13 10:16:31.035 GMT,Verka Dolezalkova,2022-09-13 10:17:10 GMT,8590,13 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,tall mound with large RTs,Forest,,Forest,,Lower slope,Low,42.107546666666664,26.586595000000003,4661799.8016711669,465820.46104475134,1.3,21,,North,015-021,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8590_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8590_2.jpg''}}",2.5,20,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animal burrows,3 - impaired,Looting,,Unknown,,"1RT oval, 1.5m deep, 2 m in diameter, 2RT rectangular 
2RT square,  shallow, older than RT1, 0.3m deep, 1.5m side",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8590_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8590_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8590_3.jpg''}}",POINT(465820.461045 4661799.801671)
1.0000316631368466e+018,8591,Verka Dolezalkova,2022-09-14 06:27:38.775 GMT,Verka Dolezalkova,2022-09-14 06:27:38 GMT,8591,14 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,smelly wood coal factory at the south,Annual agriculture,,Pasture,grassland,Upper slope,High,42.07245666666666,26.547208333333334,4657920.2307288274,462543.40113029198,1.2,22,,North,24,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8591_1.jpg''}}",2.5,30,NA,NA,,,,,No,,,3 - damaged,Looting,construction of geodetic point,4 - minimal,Looting,,Unknown,,"1RT, 1.5m deep, 2.5 m at the foot, 1.3m at the top, 
geodetic point on the top",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8591_1.jpg''}}",POINT(462543.40113 4657920.230729)
1.0000316631383616e+018,8592,Verka Dolezalkova,2022-09-14 06:52:49.467 GMT,Verka Dolezalkova,2022-09-14 06:53:55 GMT,8592,14 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,mound Ezygreshka mogila,Annual agriculture,,Pasture,grassland,Lower slope,Super prominent,42.074116666666669,26.543389999999999,4658106.2213181527,462228.51806312596,1.3,23,,West,27,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8592_1.jpg''}}",1.7,25,NA,NA,,,Artefact scatter,1 late roman/ late antique sherd,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8592_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8592_2.jpg''}}",3 - damaged,Construction,"agriculture _ annually ploughed around, becomes smaller every year",3 - impaired,Agriculture,,Last year,,,geodetic point ripped out,,POINT(462228.518063 4658106.221318)
1.0000316631416234e+018,8593,Verka Dolezalkova,2022-09-14 07:47:12.003 GMT,Verka Dolezalkova,2022-09-14 07:47:43 GMT,8593,14 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,mound in between two fields,Annual agriculture,,Scrub,,Lower slope,Medium,42.058644999999991,26.552848333333333,4656384.2594743343,463001.94528155413,1.2,24,,South,30,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8593_1.jpg''}}",1.5,20,NA,NA,,,,couple of white stones around the mound,No,,,2 - minor damage,Animal activity,densely overgrown,3 - impaired,Animal activity,,Last year,,,"RTs not detected, we could not get on the top of the mound",,POINT(463001.945282 4656384.259474)
1.0000316631439753e+018,8594,Verka Dolezalkova,2022-09-14 08:26:23.237 GMT,Verka Dolezalkova,2022-09-14 08:26:36 GMT,8594,14 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Annual agriculture,,Scrub,,Upper slope,Medium,42.052323333333334,26.544021666666662,4655686.2188921301,462267.86915071844,1.3,25,,South,33,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8594_1.jpg''}}",0.5,15,NA,NA,,,,,No,,,2 - minor damage,Animal activity,"no RTs detected, but we could not check it properly as it was densely overgrown",3 - impaired,Animal activity,,Last year,,,"no RTs detected, bcs it was densely overgrown",,POINT(462267.869151 4655686.218892)
1.0000316631454271e+018,8595,Verka Dolezalkova,2022-09-14 08:50:36.209 GMT,Verka Dolezalkova,2022-09-14 08:51:03 GMT,8595,14 Sep,Verka Dolezalkova,Other,,Legacy verification,military bunker,Scrub,,Scrub,,Upper slope,Nil,42.050306666666664,26.542868333333331,4655462.8173408108,462171.23420728586,1.3999999999999999,26,,South,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8595_1.jpg''}}",3,5,NA,NA,square,,,,No,,,2 - minor damage,Erosion,,5 - none or nearly none,Animal activity,,Last year,,military structure,,,POINT(462171.234207 4655462.817341)
1.0000316631531615e+018,8596,Verka Dolezalkova,2022-09-14 10:59:35.459 GMT,Verka Dolezalkova,2022-09-14 11:00:18 GMT,8596,14 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,flat overgrown spot,Scrub,,Scrub,,Hilltop,Nil,42.032130000000009,26.533143333333335,4653449.0076704957,461355.45234971971,1.2,27,,Northeast,43,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8596_1.jpg''}}",0,10,NA,NA,,"not possible to determine the exact shape, no mound around",,,No,,,0 - No observation,Natural,,No observation,Unknown,,Unknown,,,there was no mound visible at the hilltop,,POINT(461355.45235 4653449.00767)
